    242.9143        224.8688        206.4880        187.7894     
    168.7904        149.5084        129.9604        110.1632     
    90.13326        69.88625        49.43745        28.80151     
    7.992394       -12.97657       -33.94553    
    763.3415        763.3415        749.1190        735.3887     
    722.1647        709.4570        697.2720        685.6123     
    674.4760        663.8568        653.7430        644.1174     
    634.9564        626.2300        617.9017        609.9285     
    602.2613        594.8456        587.6223        580.5284     
    573.4985        566.4671        559.3716        552.1521     
    544.7502        537.1113        529.1845        520.9240     
    512.2896        503.2470        493.7680        483.8306     
    473.4186        462.5210        451.1315        439.2479     
    426.8708        414.0036        400.6516        386.8212     
    372.5206        357.7588        342.5458        326.8927     
    310.8117        294.3159        277.4196        260.1378     
    242.4863        224.4815        206.1405        187.4805     
    168.5188        149.2727        129.7595        109.9960     
    89.99870        69.78355        49.36602        28.76097     
    7.982647       -12.95539       -33.89342    
    765.1595        765.1595        750.9333        737.1953     
    723.9581        711.2306        699.0179        687.3215     
    676.1388        665.4633        655.2836        645.5831     
    636.3395        627.5238        619.1008        611.0287     
    603.2595        595.7391        588.4092        581.2070     
    574.0673        566.9244        559.7162        552.3826     
    544.8660        537.1120        529.0710        520.6984     
    511.9557        502.8103        493.2365        483.2142     
    472.7292        461.7723        450.3383        438.4251     
    426.0333        413.1654        399.8250        386.0171     
    371.7475        357.0233        341.8525        326.2448     
    310.2106        293.7621        276.9126        259.6765     
    242.0691        224.1068        205.8064        187.1850     
    168.2601        149.0492        129.5696        109.8383     
    89.87203        69.68703        49.29896        28.72295     
    7.973506       -12.93552       -33.84455    
    767.0145        767.0145        752.7894        739.0521     
    725.8135        713.0799        700.8538        689.1345     
    677.9177        667.1957        656.9566        647.1841     
    637.8566        628.9466        620.4202        612.2371     
    604.3506        596.7082        589.2521        581.9205     
    574.6484        567.3708        560.0258        552.5541     
    544.8988        537.0069        528.8302        520.3264     
    511.4592        502.1991        492.5228        482.4132     
    471.8580        460.8495        449.3828        437.4558     
    425.0676        412.2184        398.9095        385.1429     
    370.9220        356.2510        341.1361        325.5848     
    309.6065        293.2122        276.4146        259.2278     
    241.6669        223.7482        205.4886        186.9056     
    168.0167        148.8397        129.3921        109.6913     
    89.75426        69.59743        49.23678        28.68773     
    7.965039       -12.91712       -33.79929    
    768.8896        768.8896        754.6717        740.9467     
    727.7223        715.0013        702.7825        691.0613     
    679.8301        669.0786        658.7932        648.9570     
    639.5485        630.5413        621.9030        613.5953     
    605.5734        597.7866        590.1787        582.6891     
    575.2542        567.8096        560.2948        552.6516     
    544.8250        536.7639        528.4232        519.7635     
    510.7524        501.3642        491.5792        481.3831     
    470.7658        459.7201        448.2404        436.3227     
    423.9629        411.1579        397.9050        384.2025     
    370.0502        355.4496        340.4046        324.9210     
    309.0070        292.6732        275.9319        258.7971     
    241.2841        223.4095        205.1905        186.6449     
    167.7907        148.6459        129.2286        109.5562     
    89.64625        69.51539        49.17992        28.65553     
    7.957303       -12.90032       -33.75794    
    770.7590        770.7590        756.5557        742.8569     
    729.6664        716.9824        704.7983        693.1044     
    681.8880        671.1340        660.8255        650.9429     
    641.4636        632.3616        623.6057        615.1596     
    606.9811        599.0220        591.2286        583.5429     
